Audio,PalavraAlvo,Item,Group
VILCOLTO1.mp3,VILCOLTO,18,B
TREMOÇO1.mp3,TREMOÇO,19,B
AZEDUME1.mp3,AZEDUME,20,B
BOÇAL1.mp3,BOÇAL,21,B
SIDEBO1.mp3,SIDEBO,22,B
ASTÚCIA1.mp3,ASTÚCIA,23,B
LINETO1.mp3,LINETO,24,B
BALÚSTRE1.mp3,BALAÚSTRE,25,B
CALOREDA1.mp3,CALOREDA,26,B
POCILGA1.mp3,POCILGA,27,B
PARAVO1.mp3,PARAVO,28,B
EFLÚVIO1.mp3,EFLÚVIO,29,B
BINOTA1.mp3,BINOTA,30,B
LABÉU1.mp3,LABÉU,31,B
DINOSCADO1.mp3,DINOSCADO,32,B
CUNTATÓRIO.mp3,CUNTATÓRIO,33,B
MOSFIGUE1.mp3,MOSFIGUE,34,B
INÓCUO1.mp3,INÓCUO,35,B
BATISCARIA1.mp3,BATISCARIA,36,B
LOQUAZ1.mp3,LOQUAZ,37,B
CHECARIO1.mp3,CHECARIO,38,B
QUIMERA1.mp3,QUIMERA,39,B
GUETIACHO1.mp3,GUETIACHO,40,B
RUFIÃO1.mp3,RUFIÃO,41,B
PITEDA1.mp3,PITEDA,42,B
TREBODA1.mp3,TREBODA,43,B
ZARAGATOA1.mp3,ZARAGATOA,44,B
BELICOSO1.mp3,BELICOSO,45,B
VAQUINHA1.mp3,CHAVE,1,C
MACACO1.mp3,FOGUETE,2,C
PIRANHA1.mp3,PLACA,3,C
PERUA1.mp3,CARTOLA,4,C
GATO1.mp3,BALCÃO,5,C
AVIÃOZINHO1.mp3,PILOTO,6,C
MOÇA1.mp3,MULHER,7,C
BRUXA1.mp3,FEITIÇO,8,C
CAIPIRINHA1.mp3,ROÇA,9,C
BEIJINHO1.mp3,CARINHO,10,C
FLANELINHA1.mp3,BANANA,11,C
BUCHINHA1.mp3,ELÁSTICO,12,C
PAPELÃO1.mp3,VERGONHA,13,C
MOCHILÃO1.mp3,VIAGEM,14,C
CAIXÃO1.mp3,SEPULTURA,15,C
TOLUCA1.mp3,TOLUCA,16,C
PANDECA1.mp3,PANDECA,17,C
VILCOLTO1.mp3,VILCOLTO,18,C
TREMOÇO1.mp3,TREMOÇO,19,C
AZEDUME1.mp3,AZEDUME,20,C
BOÇAL1.mp3,BOÇAL,21,C
SIDEBO1.mp3,SIDEBO,22,C
ASTÚCIA1.mp3,ASTÚCIA,23,C
LINETO1.mp3,LINETO,24,C
BALÚSTRE1.mp3,BALAÚSTRE,25,C
CALOREDA1.mp3,CALOREDA,26,C
POCILGA1.mp3,POCILGA,27,C
PARAVO1.mp3,PARAVO,28,C
EFLÚVIO1.mp3,EFLÚVIO,29,C
BINOTA1.mp3,BINOTA,30,C
LABÉU1.mp3,LABÉU,31,C
DINOSCADO1.mp3,DINOSCADO,32,C
CUNTATÓRIO.mp3,CUNTATÓRIO,33,C
MOSFIGUE1.mp3,MOSFIGUE,34,C
INÓCUO1.mp3,INÓCUO,35,C
BATISCARIA1.mp3,BATISCARIA,36,C
LOQUAZ1.mp3,LOQUAZ,37,C
CHECARIO1.mp3,CHECARIO,38,C
QUIMERA1.mp3,QUIMERA,39,C
GUETIACHO1.mp3,GUETIACHO,40,C
RUFIÃO1.mp3,RUFIÃO,41,C
PITEDA1.mp3,PITEDA,42,C
TREBODA1.mp3,TREBODA,43,C
ZARAGATOA1.mp3,ZARAGATOA,44,C
BELICOSO1.mp3,BELICOSO,45,C

